null	No.	OK	change	protein name	old
	6164		@	menaquinol--cytochrome c reductase cytochrome b subunit	menaquinol-cytochrome c reductase cytochrome b subunit
	6165		@	menaquinol--cytochrome c reductase cytochrome b/c subunit	menaquinol-cytochrome c reductase cytochrome b/c subunit
	6166		@	menaquinol--cytochrome c reductase cytochrome c subunit	menaquinol-cytochrome c reductase cytochrome c subunit
	6167		@	menaquinol--cytochrome c reductase iron-sulfur subunit	menaquinol-cytochrome c reductase iron-sulfur protein
	6168		@	menaquinol--cytochrome c reductase iron-sulfur subunit	menaquinol-cytochrome c reductase iron-sulfur subunit
	6169		@	menaquinone biosynthesis methyltransferase	demethylmenaquinone methyltransferase
	6170			menaquinone biosynthesis methyltransferase	menaquinone biosynthesis methyltransferase
	6171			menaquinone biosynthesis methyltransferase UbiE	menaquinone biosynthesis methyltransferase UbiE
	6172			menaquinone biosynthesis protein	menaquinone biosynthesis protein
	6173			menaquinone-specific isochorismate synthase	menaquinone-specific isochorismate synthase
	6174			mercuric ion transporter	mercuric ion transporter
	6175		@	mercuric ion transporter	mercuric transport protein
	6176		@	mercuric ion transporter MerH	MerH protein
	6177		@	mercuric ion-binding protein	mercuric transport protein periplasmic component
	6178		@	mercuric ion-binding protein	mercuric transport protein periplasmic component precursor
	6179		@	mercuric ion-binding protein	mercury ion binding protein
	6180			mercuric reductase	mercuric reductase
	6181		@	mercuric reductase	mercuric reductase (MerA)
	6182			mercuric resistance operon regulatory protein	mercuric resistance operon regulatory protein
	6183		@	mercuric resistance operon regulatory protein	mercury resistance operon repressor MerR
	6184			MerR family transcriptional regulator	MerR family transcriptional regulator
	6185			MerR family transcriptional regulator CadR	MerR family transcriptional regulator CadR
	6186		@	MerR family transcriptional regulator CueR	copper efflux regulon transcriptional regulator CueR
	6187			MerR family transcriptional regulator CueR	MerR family transcriptional regulator CueR
	6188			MerR family transcriptional regulator MlrA	MerR family transcriptional regulator MlrA
	6189			MerR family transcriptional regulator ZntR	MerR family transcriptional regulator ZntR
	6190			MerR family transcriptional regulator/peroxidase	MerR family transcriptional regulator/peroxidase
	6191			MerR family transcriptional repressor YcgE	MerR family transcriptional repressor YcgE
	6192			meso-diaminopimelate dehydrogenase	meso-diaminopimelate dehydrogenase
	6193			meta-cleavage compound hydrolase	meta-cleavage compound hydrolase
	6194			metal ABC transporter ATP-binding protein	metal ABC transporter ATP-binding protein
	6195			metal ABC transporter permease protein	metal ABC transporter permease protein
	6196		@	metal ABC transporter substrate-binding protein	metal ABC transporter metal-binding protein
	6197			metal ABC transporter substrate-binding protein	metal ABC transporter substrate-binding protein
	6198			metal dependent hydrolase	metal dependent hydrolase
	6199		@	metal ion transporter	metal ion transport protein
	6200			metal ion transporter	metal ion transporter
	6201		@	metal ion transporter	metal transporter
	6202			metal-binding protein	metal-binding protein
	6203			metal-binding protein YbgI	metal-binding protein YbgI
	6204			metal-binding protein ZinT	metal-binding protein ZinT
	6205			metal-dependent hydrolase	metal-dependent hydrolase
	6206			metal-dependent phosphohydrolase	metal-dependent phosphohydrolase
	6207			metallocarboxypeptidase	metallocarboxypeptidase
	6208			metallochaperone MeaB	metallochaperone MeaB
	6209			metalloendopeptidase	metalloendopeptidase
	6210			metallopeptidase	metallopeptidase
	6211		@	metallopeptidase	metallopeptidase precursor
	6212		@	metallopeptidase	metalloprotease
	6213		@	metallopeptidase LoiP	metalloprotease LoiP
	6214		@	metallopeptidase RseP	metalloprotease RseP
	6215			metallophosphoesterase	metallophosphoesterase
